RouteNumber,num_schools_served
2063,5
2062,5
2017,4
2015,4
2014,4
2018,4
2024,4
2035,4
2036,4
2056,4
2057,4
2061,4
2016,4
2079,4
2074,4
1022,3
1019,3
2078,3
2022,3
2023,3
1012,3
2025,3
1013,3
1015,3
1023,3
1018,3
2060,3
1046,3
1045,3
2073,3
1020,3
2068,3
2066,3
1040,3
1039,3
1024,3
2072,3
2071,3
2070,3
1031,3
1032,3
2069,3
1021,3
2026,2
2038,2
2067,2
2037,2
2039,2
2040,2
2041,2
2042,2
2043,2
2044,2
2045,2
2011,2
2081,2
2001,2
2003,2
1042,2
2010,2
1038,2
1035,2
1029,2
1028,2
1027,2
1062,2
1044,2
2002,2
1043,2
2004,2
2005,2
1010,2
2006,2
2007,2
2008,2
2009,2
1017,1
1009,1
1003,1
1033,1
1041,1
2065,1
2064,1
1002,1
2048,1
1047,1
1054,1
2029,1
2030,1
2031,1
2032,1
1060,1
1056,1
1051,1
1048,1
1050,1
2046,1
2047,1
2053,1
2054,1
1049,1
1001,1
