school_name,students_2025,num_school_routes,school_lat,school_lon,students_per_route,nearest_pr_location,nearest_pr_suburb,pr_distance_km,pr_suitability,congestion_risk,priority_score
Canberra Grammar School,2028,5,,,405.6,,,,Low/Investigate (add/expand P&R),High,4
Radford College,1754,1,,,1754.0,,,,Low/Investigate (add/expand P&R),High,4
Canberra High School,838,1,,,838.0,,,,Low/Investigate (add/expand P&R),High,4
Mother Teresa School,801,1,,,801.0,,,,Low/Investigate (add/expand P&R),High,4
Red Hill Primary School,725,1,,,725.0,,,,Low/Investigate (add/expand P&R),High,4
North Ainslie Primary School,674,1,,,674.0,,,,Low/Investigate (add/expand P&R),High,4
Fraser Primary School,545,1,,,545.0,,,,Low/Investigate (add/expand P&R),High,4
Wanniassa Hills Primary School,432,1,,,432.0,,,,Low/Investigate (add/expand P&R),High,4
Theodore Primary School,401,1,,,401.0,,,,Low/Investigate (add/expand P&R),High,4
Charnwood-Dunlop School,398,1,,,398.0,,,,Low/Investigate (add/expand P&R),High,4
Canberra Girls Grammar School,1399,5,,,279.8,,,,Low/Investigate (add/expand P&R),Medium,3
Alfred Deakin High School,877,4,,,219.25,,,,Low/Investigate (add/expand P&R),Medium,3
St John Paul II College,797,3,,,265.6666666666667,,,,Low/Investigate (add/expand P&R),Medium,3
Holy Spirit Primary School,748,2,,,374.0,,,,Low/Investigate (add/expand P&R),Medium,3
Campbell High School,719,3,,,239.66666666666666,,,,Low/Investigate (add/expand P&R),Medium,3
Mount Stromlo High School,661,2,,,330.5,,,,Low/Investigate (add/expand P&R),Medium,3
Orana Steiner School,618,2,,,309.0,,,,Low/Investigate (add/expand P&R),Medium,3
St Jude's Primary School,444,2,,,222.0,,,,Low/Investigate (add/expand P&R),Medium,3
Blue Gum Community School,234,1,,,234.0,,,,Low/Investigate (add/expand P&R),Medium,3
Amaroo School,2001,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Harrison School,1805,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
St Mary MacKillop College,1784,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Marist College Canberra,1599,14,,,114.21428571428571,,,,Low/Investigate (add/expand P&R),Low,2
Burgmann Anglican School,1529,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Telopea Park School,1410,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Daramalan College,1407,7,,,201.0,,,,Low/Investigate (add/expand P&R),Low,2
Gold Creek School,1273,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
St Francis Xavier College,1192,8,,,149.0,,,,Low/Investigate (add/expand P&R),Low,2
Gungahlin College,1170,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
The Canberra College,1164,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Trinity Christian School,1138,12,,,94.83333333333333,,,,Low/Investigate (add/expand P&R),Low,2
Lyneham High School,1119,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
St Clare's College,961,11,,,87.36363636363636,,,,Low/Investigate (add/expand P&R),Low,2
Brindabella Christian College,950,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Narrabundah College,939,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Dickson College,892,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Kingsford Smith School,887,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Neville Bonner Primary School,852,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Melrose High School,810,11,,,73.63636363636364,,,,Low/Investigate (add/expand P&R),Low,2
St Edmund's College Canberra,806,11,,,73.27272727272727,,,,Low/Investigate (add/expand P&R),Low,2
Lake Tuggeranong College,720,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Holy Family Primary School,720,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Namadgi School,710,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Caroline Chisholm School,706,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Good Shepherd Primary School,702,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Palmerston District Primary School,697,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Ngunnawal Primary School,684,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Majura Primary School,674,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Merici College,671,8,,,83.875,,,,Low/Investigate (add/expand P&R),Low,2
Melba Copland Secondary School,651,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Chapman Primary School,645,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Garran Primary School,627,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Aranda Primary School,623,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
St Clare of Assisi Primary School,600,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Macgregor Primary School,595,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Miles Franklin Primary School,590,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Kaleen Primary School,576,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Curtin Primary School,570,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
University of Canberra Senior Secondary College Lake Ginninderra,565,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Mount Rogers Primary School,565,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
Forrest Primary School,550,4,,,137.5,,,,Low/Investigate (add/expand P&R),Low,2
Turner School,524,0,,,,,,,Low/Investigate (add/expand P&R),Unknown (no school-only routes),2
