School Name,lat,lon,has_am_service,has_pm_service,total_students_census,total_students_distance,demand_score,nearest_pr_suburb,nearest_pr_location,nearest_pr_permit,nearest_pr_lat,nearest_pr_lon,nearest_pr_dist_m,alt_pr_suburb,alt_pr_location,alt_pr_lat,alt_pr_lon,alt_pr_dist_m,has_alt_pr_within_2km
Canberra Grammar School,-35.33109178,149.1278506,True,True,32194.0,,22635.8,Woden,"Woden Bus Station, access from Matilda Street",Permit Only,-35.343136,149.087253,3918.523637786058,Curtin,Curtin Shops - Carruthers Street,-35.325559,149.081705,4231.22832785605,False
Marist College Canberra,-35.35945117,149.0882278,True,True,28361.0,,19952.699999999997,Mawson,"Corner of Mawson and Athllon Drive, access from Mawson Place",Permit and Non-permit,-35.364975,149.092885,745.399550135448,Woden,"Woden Bus Station, access from Matilda Street",-35.343136,149.087253,1816.316974883156,True
Alfred Deakin High School,-35.32418957,149.0943121,True,True,27174.0,468.0,19262.2,Curtin,Curtin Shops - Carruthers Street,No Permit Required,-35.325559,149.081705,1153.8390803964405,Woden,"Woden Bus Station, access from Matilda Street",-35.343136,149.087253,2201.9149942469217,False
Daramalan College,-35.25300846,149.1389186,True,True,24659.0,,17361.3,Bruce,"College Street, adjacent to the University of Canberra",Permit Only,-35.242036,149.084796,5064.004214022131,Jamison,Jamison Centre - Bowman Street,-35.252094,149.072157,6063.042237987274,False
Red Hill Primary School,-35.33893929,149.1326621,True,False,24076.0,458.0,17090.600000000002,Woden,"Woden Bus Station, access from Matilda Street",Permit Only,-35.343136,149.087253,4145.152409791352,Mawson,"Corner of Mawson and Athllon Drive, access from Mawson Place",-35.364975,149.092885,4625.480173521564,False
Canberra Girls Grammar School,-35.31701448,149.1158606,True,True,24152.0,,17006.399999999998,Curtin,Curtin Shops - Carruthers Street,No Permit Required,-35.325559,149.081705,3241.1993055818243,Woden,"Woden Bus Station, access from Matilda Street",-35.343136,149.087253,3895.070140917029,False
Mount Stromlo High School,-35.35492031,149.0544905,True,False,23652.0,,16656.399999999998,Weston,"Coolemon Court, Liardet Street",Permit Only,-35.340347,149.051397,1644.5879157474938,Kambah,Kambah Village Shops - Marconi Crescent,-35.379524,149.057408,2748.5660464398156,False
Campbell High School,-35.27861871,149.1477875,True,False,21994.0,355.0,15602.3,Bruce,"College Street, adjacent to the University of Canberra",Permit Only,-35.242036,149.084796,7018.369418765795,Jamison,Jamison Centre - Bowman Street,-35.252094,149.072157,7473.07997503694,False
St Francis Xavier College,-35.22499669,149.0411711,True,False,20674.0,,14571.8,Kippax,Moyes Crescent,No Permit Required,-35.2207792,149.0216365,1835.3838542427516,Kippax,Kippax Centre - Hardwick Crescent,-35.22389,149.020305,1899.3631059787124,True
Trinity Christian School,-35.40790103,149.0865327,True,True,19370.0,,13659.0,Tuggeranong,"Tuggeranong Bus Station, access from Anketell Street",Permit Only,-35.41387,149.06669,1916.837696983732,Wanniassa,"Athllon Drive, access via Rylah Crescent",-35.390413,149.084687,1951.7630405433201,True
North Ainslie Primary School,-35.25483698,149.1478799,True,False,19014.0,487.0,13555.9,Bruce,"College Street, adjacent to the University of Canberra",Permit Only,-35.242036,149.084796,5902.724682720428,Jamison,Jamison Centre - Bowman Street,-35.252094,149.072157,6882.591229547794,False
St Clare's College,-35.32363989,149.1464467,True,True,18209.0,,12846.3,Fyshwick,Tom Price Street,No Permit Required,-35.340108,149.184033,3870.2370618996097,Woden,"Woden Bus Station, access from Matilda Street",-35.343136,149.087253,5790.734215990263,False
Forrest Primary School,-35.31446042,149.1256831,True,True,17309.0,,12216.3,Curtin,Curtin Shops - Carruthers Street,No Permit Required,-35.325559,149.081705,4176.535171636749,Woden,"Woden Bus Station, access from Matilda Street",-35.343136,149.087253,4724.547555207752,False
Fraser Primary School,-35.19200072,149.0431569,True,False,16684.0,381.0,11893.099999999999,Charnwood,Charnwood Shopping Centre - Lhotsky Street,No Permit Required,-35.205147,149.034283,1669.4329695749375,Kippax,Moyes Crescent,-35.2207792,149.0216365,3750.0799924029925,False
Lyneham Primary School,-35.2514168,149.1256275,True,False,16073.0,362.0,11459.699999999999,Bruce,"College Street, adjacent to the University of Canberra",Permit Only,-35.242036,149.084796,3851.8381183533643,Jamison,Jamison Centre - Bowman Street,-35.252094,149.072157,4855.942184799619,False
St Edmund's College Canberra,-35.32276245,149.1454991,True,True,16204.0,,11442.8,Fyshwick,Tom Price Street,No Permit Required,-35.340108,149.184033,3992.4040464331692,Woden,"Woden Bus Station, access from Matilda Street",-35.343136,149.087253,5748.886520676524,False
Belconnen High School,-35.24739818,149.039008,True,False,15958.0,182.0,11325.199999999999,Belconnen,Corner of Josephson Street and Walder Street,Permit Only,-35.23824,149.060841,2228.9744152096855,Belconnen,"Belconnen Community Bus Station, access from Swanson Circuit",-35.239602,149.069423,2894.9427268078225,False
Merici College,-35.26688713,149.1367055,True,True,14771.0,,10439.699999999999,Bruce,"College Street, adjacent to the University of Canberra",Permit Only,-35.242036,149.084796,5463.752780657144,Jamison,Jamison Centre - Bowman Street,-35.252094,149.072157,6087.193586442645,False
Wanniassa Hills Primary School,-35.3929691,149.0961123,True,True,13889.0,261.0,9900.599999999999,Wanniassa,"Athllon Drive, access via Rylah Crescent",No Permit Required,-35.390413,149.084687,1073.9667184253703,Kambah,Kambah Centre - O'Halloran Circuit,-35.393088,149.067983,2549.8403266459263,False
Calwell High School,-35.44087726,149.1176089,True,False,12985.0,203.0,9250.4,Calwell,Calwell Shops - Webber Street,No Permit Required,-35.433428,149.113051,925.5398973758057,Chisholm,Chisholm Shops - Bentham Street,-35.414624,149.128667,3086.3867435898396,False
Charnwood-Dunlop School,-35.19867811,149.0363126,True,False,12782.0,263.0,9126.3,Charnwood,Charnwood Shopping Centre - Lhotsky Street,No Permit Required,-35.205147,149.034283,742.5703033430271,Kippax,Moyes Crescent,-35.2207792,149.0216365,2795.9361920208194,False
Holy Spirit Primary School,-35.18067465,149.1006741,True,False,11582.0,,8207.4,Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street",Permit Only,-35.186843,149.132396,2963.3721580873603,Charnwood,Charnwood Shopping Centre - Lhotsky Street,-35.205147,149.034283,6618.290436638523,False
Campbell Primary School,-35.29012735,149.1560114,True,False,11435.0,205.0,8165.999999999999,Fyshwick,Tom Price Street,No Permit Required,-35.340108,149.184033,6111.557844021178,Curtin,Curtin Shops - Carruthers Street,-35.325559,149.081705,7809.346447786572,False
University Of Canberra High School Kaleen,-35.22524312,149.1010716,True,False,11108.0,76.0,7898.4,Bruce,"College Street, adjacent to the University of Canberra",Permit Only,-35.242036,149.084796,2381.5752026440996,Belconnen,"Belconnen Community Bus Station, access from Swanson Circuit",-35.239602,149.069423,3288.175406536335,False
Calwell Primary School,-35.438634,149.1090616,True,False,10585.0,167.0,7559.599999999999,Calwell,Calwell Shops - Webber Street,No Permit Required,-35.433428,149.113051,682.4474461034989,Chisholm,Chisholm Shops - Bentham Street,-35.414624,149.128667,3206.775181965633,False
Theodore Primary School,-35.4475478,149.1235447,True,False,10504.0,263.0,7531.699999999999,Calwell,Calwell Shops - Webber Street,No Permit Required,-35.433428,149.113051,1835.4276060496875,Chisholm,Chisholm Shops - Bentham Street,-35.414624,149.128667,3690.258804281849,False
Orana Steiner School,-35.32701158,149.0591861,True,False,10158.0,,7210.599999999999,Weston,North Weston - Kirkpatrick Street,No Permit Required,-35.320885,149.058926,681.6531747278074,Weston,"Coolemon Court, Liardet Street",-35.340347,149.051397,1642.5675333155855,True
Mother Teresa School,-35.19527691,149.1530189,True,False,9157.0,,6509.9,Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street",Permit Only,-35.186843,149.132396,2095.603432036874,Bruce,"College Street, adjacent to the University of Canberra",-35.242036,149.084796,8089.629966988737,False
St John Paul II College,-35.17702592,149.1008999,True,True,8908.0,,6335.599999999999,Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street",Permit Only,-35.186843,149.132396,3063.529274260137,Charnwood,Charnwood Shopping Centre - Lhotsky Street,-35.205147,149.034283,6813.5241941773675,False
St Francis Of Assisi Primary School,-35.44184375,149.1185932,True,False,8173.0,,5821.099999999999,Calwell,Calwell Shops - Webber Street,No Permit Required,-35.433428,149.113051,1061.9814702610752,Chisholm,Chisholm Shops - Bentham Street,-35.414624,149.128667,3161.3310332363208,False
St Jude's Primary School,-35.33419454,149.0499123,True,False,6855.0,,4898.5,Weston,"Coolemon Court, Liardet Street",Permit Only,-35.340347,149.051397,697.2522658664845,Weston,North Weston - Kirkpatrick Street,-35.320885,149.058926,1690.8354793028539,True
Emmaus Christian School,-35.25344606,149.1428789,True,True,6704.0,,4792.799999999999,Bruce,"College Street, adjacent to the University of Canberra",Permit Only,-35.242036,149.084796,5424.894609181563,Jamison,Jamison Centre - Bowman Street,-35.252094,149.072157,6423.541029317109,False
St John The Apostle Primary School,-35.22679501,149.0417248,True,False,6220.0,,4454.0,Kippax,Moyes Crescent,No Permit Required,-35.2207792,149.0216365,1943.4826179681804,Kippax,Kippax Centre - Hardwick Crescent,-35.22389,149.020305,1972.2785997064054,True
St Matthew's Primary School,-35.24020178,149.0429345,True,False,5600.0,,4019.9999999999995,Belconnen,Corner of Josephson Street and Walder Street,Permit Only,-35.23824,149.060841,1640.8060810205368,Belconnen,"Belconnen Community Bus Station, access from Swanson Circuit",-35.239602,149.069423,2406.549125506969,False
Islamic School Of Canberra,-35.32963618,149.0595661,True,False,3994.0,,2895.7999999999997,Weston,North Weston - Kirkpatrick Street,No Permit Required,-35.320885,149.058926,974.818042506796,Weston,"Coolemon Court, Liardet Street",-35.340347,149.051397,1402.703461301483,True
Blue Gum Community School,-35.25017112,149.1627307,True,False,3619.0,,2633.2999999999997,Bruce,"College Street, adjacent to the University of Canberra",Permit Only,-35.242036,149.084796,7134.8846616232095,Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street",-35.186843,149.132396,7561.751986136197,False
St Thomas More's Primary School,-35.28732792,149.1556876,True,False,2763.0,,2034.1,Fyshwick,Tom Price Street,No Permit Required,-35.340108,149.184033,6407.689545843542,Curtin,Curtin Shops - Carruthers Street,-35.325559,149.081705,7946.179951867318,False
Canberra Montessori School,-35.33221873,149.0505814,True,False,2317.0,,1721.8999999999999,Weston,"Coolemon Court, Liardet Street",Permit Only,-35.340347,149.051397,906.8452787614245,Weston,North Weston - Kirkpatrick Street,-35.320885,149.058926,1470.1455814813112,True
Gold Creek P-6,-35.18068628,149.1006905,True,False,,,100.0,Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street",Permit Only,-35.186843,149.132396,2961.6228120563374,Charnwood,Charnwood Shopping Centre - Lhotsky Street,-35.205147,149.034283,6619.117044961284,False
Caroline Chisholm School P-6,-35.42004476,149.1230934,True,False,,,100.0,Chisholm,Chisholm Shops - Bentham Street,No Permit Required,-35.414624,149.128667,786.3957626616603,Calwell,Calwell Shops - Webber Street,-35.433428,149.113051,1744.288797985578,True
Burgmann Anglican School Valley Campus,-35.18784524,149.1236662,True,True,,,100.0,Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street",Permit Only,-35.186843,149.132396,801.1232073588859,Bruce,"College Street, adjacent to the University of Canberra",-35.242036,149.084796,6984.182397168761,False
Telopea Park School 7-10,-35.31370184,149.1336759,True,True,,,100.0,Curtin,Curtin Shops - Carruthers Street,No Permit Required,-35.325559,149.081705,4896.0956031652795,Woden,"Woden Bus Station, access from Matilda Street",-35.343136,149.087253,5333.674100418945,False
St Mary Mackillop College - Senior Campus,-35.42505875,149.0931127,True,True,,,100.0,Calwell,Calwell Shops - Webber Street,No Permit Required,-35.433428,149.113051,2032.1271628235374,Tuggeranong,"Tuggeranong Bus Station, access from Anketell Street",-35.41387,149.06669,2698.2687098506804,False
Harrison School 7-10,-35.19919644,149.1515171,True,False,,,100.0,Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street",Permit Only,-35.186843,149.132396,2214.931983383698,Bruce,"College Street, adjacent to the University of Canberra",-35.242036,149.084796,7708.813612469889,False
Gold Creek 7-10,-35.17975595,149.0937054,True,False,,,100.0,Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street",Permit Only,-35.186843,149.132396,3603.4667104741234,Charnwood,Charnwood Shopping Centre - Lhotsky Street,-35.205147,149.034283,6093.337569295657,False
Caroline Chisholm School 7-10,-35.41801195,149.1217966,True,False,,,100.0,Chisholm,Chisholm Shops - Bentham Street,No Permit Required,-35.414624,149.128667,727.6971279020364,Calwell,Calwell Shops - Webber Street,-35.433428,149.113051,1888.486968229313,True
St Mary Mackillop College - Junior Campus,-35.40541396,149.0899328,True,True,,,100.0,Wanniassa,"Athllon Drive, access via Rylah Crescent",No Permit Required,-35.390413,149.084687,1734.4765527910508,Tuggeranong,"Tuggeranong Bus Station, access from Anketell Street",-35.41387,149.06669,2306.7629932636564,False
Harrison School P-6,-35.19919817,149.1515231,True,False,,,100.0,Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street",Permit Only,-35.186843,149.132396,2215.4789847245834,Bruce,"College Street, adjacent to the University of Canberra",-35.242036,149.084796,7709.123230023684,False
Melba Copland Secondary School 7-10,-35.21366394,149.0495119,True,False,,,100.0,Charnwood,Charnwood Shopping Centre - Lhotsky Street,No Permit Required,-35.205147,149.034283,1676.6519517104325,Kippax,Moyes Crescent,-35.2207792,149.0216365,2653.007327872207,False
Holy Family Parish Primary School,-35.41358592,149.109718,True,True,,,100.0,Chisholm,Chisholm Shops - Bentham Street,No Permit Required,-35.414624,149.128667,1721.0755319258594,Calwell,Calwell Shops - Webber Street,-35.433428,149.113051,2226.912513325773,False
Canberra Girls Grammar Junior School,-35.31224635,149.1109263,True,True,,,100.0,Curtin,Curtin Shops - Carruthers Street,No Permit Required,-35.325559,149.081705,3036.4903264501327,Woden,"Woden Bus Station, access from Matilda Street",-35.343136,149.087253,4050.9201855200613,False
Brindabella Christian College Lyneham Campus,-35.24894892,149.1275767,True,False,,,100.0,Bruce,"College Street, adjacent to the University of Canberra",Permit Only,-35.242036,149.084796,3960.292835433516,Jamison,Jamison Centre - Bowman Street,-35.252094,149.072157,5044.567631627165,False
Canberra Grammar Junior School,-35.33241923,149.124805,True,True,,,100.0,Woden,"Woden Bus Station, access from Matilda Street",Permit Only,-35.343136,149.087253,3608.694705496147,Curtin,Curtin Shops - Carruthers Street,-35.325559,149.081705,3983.656583040613,False
